population	links	index	origin_mean	origing_error	destination_mean	destination_error
886453	8000	50	0.119	0.00281401	0.125106	0.00545266
886453	8000	51	0.137148	0.00101326	0.145303	0.00442298
886453	8000	52	0.218624	0.00216148	0.097152	0.00288819
886453	8000	53	0.182064	0.00154865	0.0596107	0.00147215
886453	8000	54	0.11017	0.00259934	0.081989	0.00225929
886453	8000	55	0.136178	0.00407335	0.0595548	0.00144997
886453	8000	56	0.14296	0.00196481	0.127089	0.00408573
886453	8000	57	0.1756	0.00238017	0.0688573	0.00237021
886453	8000	58	0.163947	0.00156552	0.0578606	0.0014869
886453	8000	59	0.163154	0.00134324	0.0588517	0.00134086
886453	8000	60	0.2085	0.00289145	0.0722849	0.00281063
886453	8000	61	0.161203	0.00154584	0.0725213	0.00215415
886453	8000	62	0.080821	0.00132411	0.0553958	0.00243629
886453	8000	63	0.0958761	0.00171193	0.0629919	0.00203594
886453	8000	64	0.17665	0.00174281	0.0751938	0.00176983
886453	8000	65	0.170961	0.00200597	0.0795114	0.00206885
886453	8000	66	0.104071	0.00148933	0.0767544	0.00438209
886453	8000	67	0.137227	0.00182328	0.126887	0.00454822
886453	8000	68	0.108821	0.0021413	0.0563984	0.00170613
886453	8000	69	0.185305	0.00211113	0.0635706	0.00216972
886453	8000	70	0.182346	0.00381713	0.0754225	0.00368735
886453	8000	71	0.129597	0.00247184	0.0652146	0.00415098
886453	8000	72	0.167038	0.00491965	0.0557904	0.00392631
886453	8000	73	0.11479	0.00173894	0.0926113	0.00322838
886453	8000	74	0.108151	0.00202102	0.041619	0.00132186
886453	8000	75	0.194346	0.0134957	0.0515873	0.020191
886453	8000	76	0.0803051	0.00294434	0.0605284	0.00247264
886453	8000	77	0.186715	0.00166794	0.186491	0.00411159
886453	8000	78	0.166717	0.00167634	0.0543925	0.00080666
886453	8000	79	0.146361	0.00169565	0.0871883	0.00198817
886453	8000	80	0.141172	0.00141632	0.0825056	0.00145121
886453	8000	81	0.125854	0.00181185	0.0683548	0.00263642
886453	8000	82	0.202761	0.00202398	0.0656475	0.00217361
886453	8000	83	0.0650355	0.00193822	0.0453977	0.00171742
886453	8000	84	0.178962	0.00144667	0.0612056	0.00118812
886453	8000	85	0.112446	0.000905609	0.0582813	0.0017306
886453	8000	86	0.120228	0.00273444	0.12091	0.00456539
886453	8000	87	0.104721	0.00377589	0.0661527	0.00248945
886453	8000	88	0.225421	0.00359777	0.0584633	0.00205535
886453	8000	89	0.120556	0.00660592	0.0504451	0.0041937
886453	8000	90	0.156175	0.00208496	0.0803878	0.00259235
886453	8000	91	0.255011	0.00190098	0.0837355	0.00250664
886453	8000	92	0.115028	0.00165554	0.0849072	0.003205
886453	8000	93	0.231685	0.00491092	0.0505508	0.00272153
886453	8000	94	0.160458	0.00196968	0.0483997	0.00159506
886453	8000	95	0.144579	0.00176465	0.0530156	0.00154811
886453	8000	96	0.158877	0.00148917	0.181168	0.00372857
886453	8000	97	0.168097	0.00185564	0.192954	0.00508464
886453	8000	98	0.16502	0.00100001	0.21938	0.00510395
886453	8000	99	0.186708	0.00122623	0.17668	0.00306166
886453	8000	100	0.180616	0.00196658	0.149796	0.00440641
886453	8000	101	0.155508	0.00127643	0.0932723	0.00254395
886453	8000	102	0.237599	0.00278679	0.109202	0.00585128
886453	8000	103	0.18309	0.00150868	0.142151	0.00304127
886453	8000	104	0.207083	0.00186611	0.0695137	0.0014333
886453	8000	105	0.162471	0.00155043	0.128926	0.00274219
886453	8000	106	0.166903	0.00132269	0.106131	0.00210963
886453	8000	107	0.210324	0.00221343	0.446526	0.00674428
