population	links	index	origin_mean	origing_error	destination_mean	destination_error
291568	2000	55	0.00052085	3.15936e-05	0.000466306	3.5166e-05
291568	2000	56	0.000507828	3.72242e-05	0.000488972	5.47879e-05
291568	2000	57	0.000538466	5.14091e-05	0.00047909	4.03254e-05
291568	2000	58	0.00048827	4.47786e-05	0.000499216	4.11564e-05
291568	2000	59	0.000482063	3.80221e-05	0.000458053	4.08029e-05
291568	2000	60	0.000546721	8.09883e-05	0.000490694	0.000126001
291568	2000	61	0.000466503	4.98287e-05	0.000514257	6.04261e-05
291568	2000	62	0.000536734	7.98848e-05	0.000511105	5.60205e-05
291568	2000	63	0.000466692	4.804e-05	0.000431466	5.1952e-05
291568	2000	64	0.000438658	4.56902e-05	0.000429336	6.07711e-05
291568	2000	65	0.000516878	7.78644e-05	0.000473693	6.41619e-05
291568	2000	66	0.000524483	6.67953e-05	0.000444515	4.13062e-05
291568	2000	67	0.000437945	8.09934e-05	0.000497228	4.69749e-05
291568	2000	68	0.000477672	4.0784e-05	0.000458393	7.74141e-05
291568	2000	69	0.000509431	5.73826e-05	0.000486504	3.8582e-05
291568	2000	70	0.000510284	4.53113e-05	0.000479541	4.45664e-05
291568	2000	71	0.000491835	3.73163e-05	0.00040189	6.03571e-05
291568	2000	72	0.000500539	6.0647e-05	0.000406876	0.000110477
291568	2000	73	0.000435268	6.75702e-05	0.000399162	4.80633e-05
291568	2000	74	0.000442475	4.42453e-05	0.000463952	6.42044e-05
291568	2000	75	0.000451966	8.00719e-05	0.00044	9.85382e-05
291568	2000	76	0.000515758	0.000106413	0.000440506	0.000213645
291568	2000	77	0.000757576	0.000638282	0.000325521	0.000638021
291568	2000	78	0.000480047	7.89503e-05	0.000447931	6.90346e-05
291568	2000	79	0.000480769	7.93329e-05	0.000460372	5.50238e-05
291568	2000	80	0.000474556	4.0368e-05	0.000462381	5.99664e-05
291568	2000	81	0.00048312	7.68672e-05	0.000468105	4.25892e-05
291568	2000	82	0.000450251	5.37491e-05	0.000608997	5.55618e-05
291568	2000	83	0.000453195	6.2339e-05	0.000456233	4.69422e-05
291568	2000	84	0.000463252	5.25712e-05	0.000417368	6.81619e-05
291568	2000	85	0.000447497	6.4152e-05	0.000432439	5.80554e-05
291568	2000	86	0.000466434	6.4641e-05	0.000493184	4.58539e-05
291568	2000	87	0.000476322	5.60538e-05	0.0003697	8.82212e-05
291568	2000	88	0.000489271	7.12353e-05	0.00044744	7.21716e-05
291568	2000	89	0.000522491	5.15518e-05	0.000452427	4.55218e-05
291568	2000	90	0.000494933	4.05772e-05	0.00047254	3.42517e-05
