i: 130, j: 323, I: 33, J: 52
i: 130, j: 324, I: 33, J: 52
i: 738, j: 323, I: 33, J: 52
i: 738, j: 325, I: 33, J: 52
i: 78, j: 324, I: 33, J: 52
i: 79, j: 334, I: 33, J: 52
i: 79, j: 321, I: 33, J: 52
i: 136, j: 324, I: 33, J: 52
i: 130, j: 324, I: 33, J: 97
i: 737, j: 327, I: 33, J: 97
i: 82, j: 790, I: 33, J: 97
i: 136, j: 328, I: 33, J: 97
i: 136, j: 324, I: 33, J: 97
i: 738, j: 790, I: 33, J: 97
i: 78, j: 790, I: 33, J: 97
i: 737, j: 790, I: 33, J: 97
i: 130, j: 328, I: 33, J: 97
i: 738, j: 329, I: 33, J: 97
i: 78, j: 327, I: 33, J: 97
i: 80, j: 329, I: 33, J: 97
i: 79, j: 790, I: 33, J: 97
i: 78, j: 324, I: 33, J: 97
i: 79, j: 334, I: 34, J: 52
i: 78, j: 322, I: 34, J: 52
i: 78, j: 324, I: 34, J: 52
i: 79, j: 321, I: 34, J: 52
i: 79, j: 323, I: 34, J: 52
i: 80, j: 329, I: 34, J: 52
i: 80, j: 329, I: 34, J: 97
i: 79, j: 790, I: 34, J: 97
i: 78, j: 790, I: 34, J: 97
i: 81, j: 790, I: 34, J: 97
i: 82, j: 790, I: 34, J: 97
i: 78, j: 327, I: 34, J: 97
i: 78, j: 324, I: 34, J: 97
i: 722, j: 323, I: 35, J: 52
i: 809, j: 321, I: 35, J: 52
i: 809, j: 326, I: 35, J: 52
i: 98, j: 322, I: 35, J: 52
i: 98, j: 323, I: 35, J: 52
i: 98, j: 329, I: 35, J: 52
i: 722, j: 324, I: 35, J: 52
i: 809, j: 790, I: 35, J: 97
i: 722, j: 324, I: 35, J: 97
i: 98, j: 329, I: 35, J: 97
i: 809, j: 326, I: 35, J: 97
i: 99, j: 327, I: 35, J: 97
i: 99, j: 330, I: 35, J: 97
i: 98, j: 323, I: 36, J: 52
i: 98, j: 322, I: 36, J: 52
i: 33, j: 321, I: 36, J: 52
i: 98, j: 329, I: 36, J: 52
i: 809, j: 321, I: 36, J: 52
i: 809, j: 326, I: 36, J: 52
i: 99, j: 330, I: 36, J: 97
i: 809, j: 326, I: 36, J: 97
i: 809, j: 790, I: 36, J: 97
i: 99, j: 327, I: 36, J: 97
i: 98, j: 329, I: 36, J: 97
i: 85, j: 329, I: 37, J: 52
i: 87, j: 326, I: 37, J: 52
i: 84, j: 326, I: 37, J: 52
i: 89, j: 321, I: 37, J: 52
i: 87, j: 326, I: 37, J: 97
i: 85, j: 790, I: 37, J: 97
i: 85, j: 329, I: 37, J: 97
i: 84, j: 326, I: 37, J: 97
i: 36, j: 329, I: 38, J: 52
i: 85, j: 329, I: 38, J: 52
i: 36, j: 329, I: 38, J: 97
i: 85, j: 790, I: 38, J: 97
i: 85, j: 329, I: 38, J: 97
i: 722, j: 324, I: 39, J: 52
i: 89, j: 321, I: 39, J: 52
i: 722, j: 323, I: 39, J: 52
i: 36, j: 329, I: 39, J: 52
i: 36, j: 329, I: 39, J: 97
i: 722, j: 324, I: 39, J: 97
i: 80, j: 329, I: 40, J: 52
i: 60, j: 321, I: 40, J: 52
i: 79, j: 321, I: 40, J: 52
i: 79, j: 323, I: 40, J: 52
i: 61, j: 329, I: 40, J: 52
i: 79, j: 334, I: 40, J: 52
i: 63, j: 329, I: 40, J: 52
i: 61, j: 324, I: 40, J: 52
i: 61, j: 321, I: 40, J: 52
i: 61, j: 324, I: 40, J: 97
i: 61, j: 330, I: 40, J: 97
i: 81, j: 790, I: 40, J: 97
i: 80, j: 329, I: 40, J: 97
i: 79, j: 790, I: 40, J: 97
i: 63, j: 329, I: 40, J: 97
i: 61, j: 329, I: 40, J: 97
i: 61, j: 329, I: 41, J: 52
i: 61, j: 321, I: 41, J: 52
i: 63, j: 329, I: 41, J: 52
i: 59, j: 323, I: 41, J: 52
i: 62, j: 329, I: 41, J: 52
i: 62, j: 326, I: 41, J: 52
i: 61, j: 324, I: 41, J: 52
i: 59, j: 329, I: 41, J: 52
i: 60, j: 321, I: 41, J: 52
i: 63, j: 329, I: 41, J: 97
i: 61, j: 330, I: 41, J: 97
i: 62, j: 329, I: 41, J: 97
i: 62, j: 327, I: 41, J: 97
i: 61, j: 329, I: 41, J: 97
i: 61, j: 324, I: 41, J: 97
i: 62, j: 326, I: 41, J: 97
i: 59, j: 329, I: 41, J: 97
i: 62, j: 329, I: 42, J: 52
i: 61, j: 321, I: 42, J: 52
i: 62, j: 326, I: 42, J: 52
i: 61, j: 324, I: 42, J: 52
i: 61, j: 329, I: 42, J: 52
i: 59, j: 329, I: 42, J: 52
i: 58, j: 323, I: 42, J: 52
i: 59, j: 323, I: 42, J: 52
i: 61, j: 324, I: 42, J: 97
i: 61, j: 330, I: 42, J: 97
i: 61, j: 329, I: 42, J: 97
i: 62, j: 329, I: 42, J: 97
i: 58, j: 330, I: 42, J: 97
i: 62, j: 327, I: 42, J: 97
i: 62, j: 326, I: 42, J: 97
i: 59, j: 329, I: 42, J: 97
i: 58, j: 323, I: 43, J: 52
