population	links	time	detected	infected	error_detected	error_infected
74856	1000	168	8.20833	1285.42	1.78135	114.482
74856	1000	169	7.79167	1255.71	2.03313	112.906
74856	1000	170	6.54167	1230.75	1.78525	109.909
74856	1000	171	6.70833	1204.54	1.68704	106.023
74856	1000	172	5.95833	1180.79	1.63679	104.535
74856	1000	173	6.125	1154.83	1.61898	102.692
74856	1000	174	6.45833	1130.04	1.61324	101.326
74856	1000	175	5.45833	1107.21	1.45443	99.9822
74856	1000	176	5.66667	1078.33	1.40422	96.2692
74856	1000	177	4.95833	1054.17	1.1528	92.5887
74856	1000	178	5.54167	1029.54	1.16183	89.2929
74856	1000	179	5.29167	1000.17	1.43759	88.1389
188361	2000	0	2.33333	0	0.495883	0
188361	2000	1	2.125	702.792	0.593566	12.1826
188361	2000	2	2.91667	561.958	0.623352	11.4854
188361	2000	3	3.79167	606.875	0.882703	12.3699
188361	2000	4	3.16667	611.375	0.888107	12.466
188361	2000	5	3.91667	637.167	1.29731	15.698
188361	2000	6	5.25	660.75	0.952998	17.837
188361	2000	7	7.79167	688.708	1.60892	19.6926
188361	2000	8	9.5	732.542	2.42645	20.7319
188361	2000	9	12.375	784.792	3.19591	20.1373
188361	2000	10	13.4583	847.458	3.4718	23.1171
188361	2000	11	19.125	938.583	5.01277	26.9731
188361	2000	12	24.7083	1036.58	7.04467	36.4797
188361	2000	13	35.125	1163.5	9.73467	45.9241
188361	2000	14	40.7083	1335.92	12.3874	62.12
188361	2000	15	60.4167	1535.92	17.0612	80.9495
188361	2000	16	77.1667	1807.46	20.7107	107.999
188361	2000	17	101.625	2155.88	29.6338	148.087
188361	2000	18	130.125	2573.88	36.7392	195.122
188361	2000	19	168.167	3113.04	43.4945	264.476
188361	2000	20	197.292	3748.83	48.3665	320.577
188361	2000	21	230.208	4478.12	50.2223	383.208
188361	2000	22	264.542	5186.83	51.9131	396.208
188361	2000	23	295.458	5929.04	52.9601	438.728
188361	2000	24	329.958	6654.12	55.3055	479.568
188361	2000	25	360.5	7340.67	52.1475	496.009
188361	2000	26	388.083	8090.88	53.1174	616.444
188361	2000	27	414.917	8765.25	52.4187	617.539
188361	2000	28	445.417	9465.38	51.1892	731.041
188361	2000	29	472.208	10242.2	51.0702	939.934
188361	2000	30	493.583	10858.8	55.4316	1069.92
188361	2000	31	507.542	11369.9	53.0239	1128.15
188361	2000	32	532.333	11784.8	54.392	1148.25
188361	2000	33	547.917	12183.3	50.6547	1180.33
188361	2000	34	559.708	12571.1	53.7678	1204.99
188361	2000	35	562.125	12898.8	51.3152	1234.1
188361	2000	36	576.208	13235.5	53.6491	1281.98
188361	2000	37	579.458	13505.2	50.306	1314.12
188361	2000	38	583.583	13757.9	52.7435	1346.46
188361	2000	39	583.75	13976.4	53.7675	1380.06
188361	2000	40	588.25	14144.2	54.8111	1403.71
