beta	links	attackRate	error
3	9897	65926.9	620.499
3	11134	81335.5	783.347
3	12371	92924.2	739.412
3	13608	105209	769.276
3	14846	114408	663.978
3	16083	123836	537.802
3	17320	130556	445.573
3	18557	137596	460.535
3	19794	142536	477.583
3	21032	148018	563.872
3	22269	152847	522.632
3	23506	156844	796.291
3	24743	163601	569.324
3	25980	168825	851.914
3	27217	171289	501.48
3	28455	175050	689.667
3	29692	181508	703.931
3	30929	184747	789.489
3	32166	188347	748.776
3	33403	190719	690.946
3	34640	194367	579.985
3	35878	198124	813.704
3	37115	200981	859.544
3	38352	203128	978.122
3	39589	206148	829.768
3	40826	209416	527.171
3	42064	211511	807.398
3.25	2474	3337.54	148.435
3.25	3711	2745.75	64.2609
3.25	4948	2914.12	78.0742
3.25	6185	12310.1	1798.89
3.25	7423	44628	853.314
3.25	8660	66685	798.636
3.25	9897	84148.2	621.412
3.25	11134	104138	728.271
3.25	12371	114873	604.257
3.25	13608	127306	519.102
3.25	14846	135128	480.386
3.25	16083	144198	491.856
3.25	17320	151763	646.17
3.25	18557	157858	729.272
3.25	19794	163373	621.43
3.25	21032	170143	575.143
3.25	22269	175536	705.531
3.25	23506	180704	775.464
3.25	24743	189714	818.464
3.25	25980	195462	925.546
3.25	27217	198949	531.865
3.25	28455	203166	692.306
3.25	29692	210779	661.604
3.25	30929	214846	638.24
3.25	32166	217336	601.484
3.25	33403	220302	741.731
3.25	34640	224184	521.932
3.25	35878	227314	627.622
3.25	37115	230788	606.085
3.25	38352	233275	561.537
3.25	39589	236436	529.691
3.25	40826	238703	527.829
3.25	42064	241330	599.955
3.5	2474	4638.75	446.634
3.5	3711	2999.96	103.621
3.5	4948	3354.58	143.395
3.5	6185	32694.2	1166.38
3.5	7423	61180.3	513.593
3.5	8660	84645.6	876.497
3.5	9897	105733	802.388
3.5	11134	124290	532.822
3.5	12371	134877	690.806
3.5	13608	146056	275.689
3.5	14846	154183	673.128
3.5	16083	164440	613.904
3.5	17320	172421	746.571
3.5	18557	180384	783.849
3.5	19794	188103	813.298
3.5	21032	195803	1041.96
3.5	22269	201349	796.677
3.5	23506	208026	725.408
3.5	24743	216744	611.997
3.5	25980	222988	634.727
3.5	27217	226635	489.296
3.5	28455	230662	551.638
3.5	29692	238539	517.336
3.5	30929	242118	553.897
3.5	32166	244731	552.814
3.5	33403	247521	740.586
3.5	34640	250118	524.049
3.5	35878	254164	522.612
3.5	37115	258468	681.362
3.5	38352	260229	401.796
3.5	39589	263866	572.503
3.5	40826	266632	561.395
3.5	42064	268603	415.861
3.75	2474	9668.17	1308.58
3.75	3711	3432.46	131.486
3.75	4948	5314.38	716.369
3.75	6185	49189.1	686.693
3.75	7423	76296.2	574.224
3.75	8660	103379	834.396
3.75	9897	124743	608.439
3.75	11134	143010	558.209
3.75	12371	152826	576.507
3.75	13608	165363	673.477
3.75	14846	174489	789.977
3.75	16083	186070	467.948
3.75	17320	197328	957.014
3.75	18557	205720	764.709
3.75	19794	213167	998.244
3.75	21032	220996	604.031
3.75	22269	228000	584.222
3.75	23506	233054	669.329
3.75	24743	242246	600.187
3.75	25980	247934	595.42
3.75	27217	251788	803.944
3.75	28455	255842	553.797
3.75	29692	263366	530.335
3.75	30929	268026	709.941
3.75	32166	269970	505.798
3.75	33403	273084	386.619
3.75	34640	276927	664.528
3.75	35878	281006	554.595
3.75	37115	284735	675.528
3.75	38352	286766	737.191
3.75	39589	290758	450.869
3.75	40826	294592	498.779
3.75	42064	295887	587.921
4	2474	27394.9	2268.56
4	3711	4091.67	216.902
4	4948	12750.7	1765.5
4	6185	64063.9	616.682
4	7423	93259.7	1149.78
4	8660	122413	473.543
4	9897	142428	416.838
4	11134	160262	746.433
4	12371	171830	792.25
4	13608	187447	644.538
4	14846	198309	962.129
4	16083	211591	623.889
4	17320	219750	851.092
4	18557	229376	727.093
4	19794	237062	567.257
4	21032	244991	706.415
4	22269	251390	501.954
4	23506	257637	554.775
4	24743	266667	623.663
4	25980	272412	640.64
4	27217	275779	639.213
4	28455	280262	794.546
4	29692	289367	736.442
4	30929	293325	590.273
4	32166	296013	567.674
4	33403	299874	854.259
4	34640	303669	811.064
4	35878	308450	650.117
4	37115	313585	854.709
4	38352	314806	702.129
4	39589	320267	694.255
4	40826	323778	965.14
4	42064	326496	873.092
4.25	2474	68172.4	2971.27
4.25	3711	6288.83	701.764
4.25	4948	30405	1526.15
4.25	6185	77666.3	729.113
4.25	7423	113086	866.497
4.25	8660	139773	573.239
4.25	9897	159210	671.224
4.25	11134	180852	1139.57
4.25	12371	193427	886.93
4.25	13608	209412	767.844
4.25	14846	221470	880.916
4.25	16083	233902	740.082
4.25	17320	243612	641.643
4.25	18557	252256	618.372
4.25	19794	260140	666.761
4.25	21032	267102	670.315
4.25	22269	273993	609.789
4.25	23506	280562	754.093
4.25	24743	290042	694.019
4.25	25980	296878	584.195
4.25	27217	301482	658.246
4.25	28455	306448	834.093
4.25	29692	316070	822.729
4.25	30929	320512	892.384
4.25	32166	323977	589.671
4.25	33403	328519	807.089
4.25	34640	333488	754.541
4.25	35878	338990	1073.88
4.25	37115	344345	801.679
4.25	38352	348141	879.894
4.25	39589	352293	933.633
4.25	40826	357263	667.84
4.25	42064	360907	875.761
4.5	2474	115315	2134.01
4.5	3711	13350.2	1660.15
4.5	4948	48095.9	925.291
4.5	6185	94443.6	992.043
4.5	7423	130394	826.195
4.5	8660	156785	660.102
4.5	9897	178901	755.408
4.5	11134	203591	837.086
4.5	12371	216066	841.989
4.5	13608	233111	884.998
4.5	14846	244223	677.001
4.5	16083	256382	741.892
4.5	17320	265733	657.134
4.5	18557	274174	642.407
4.5	19794	283143	512.549
4.5	21032	291143	659.213
4.5	22269	297293	532.816
4.5	23506	304632	523.755
4.5	24743	315440	663.598
4.5	25980	323771	877.76
4.5	27217	328532	627.035
4.5	28455	334088	879.966
4.5	29692	346120	915.842
4.5	30929	352349	967.869
4.5	32166	356189	817.451
4.5	33403	361229	1103.78
4.5	34640	366228	1035.19
4.5	35878	373851	815.847
4.5	37115	378414	983.988
4.5	38352	382595	986.295
4.5	39589	388604	838.977
4.5	40826	394948	910.517
4.5	42064	397212	836.315
4.75	2474	166807	1621.47
4.75	3711	31883	2155.31
4.75	4948	61956.7	1075.26
4.75	6185	112048	916.972
4.75	7423	148622	797.576
4.75	8660	175460	847.173
4.75	9897	200972	1084.56
4.75	11134	227144	924.64
4.75	12371	240972	1010.44
4.75	13608	257147	831.928
4.75	14846	268429	806.033
4.75	16083	279473	795.901
4.75	17320	288003	591.39
4.75	18557	296729	732.902
4.75	19794	305987	610.738
4.75	21032	315520	738.429
4.75	22269	323032	839.465
4.75	23506	329952	928.863
4.75	24743	344168	779.302
4.75	25980	353075	1012.7
4.75	27217	359479	936.071
4.75	28455	365272	810.534
4.75	29692	379280	968.885
4.75	30929	385847	1154.02
4.75	32166	389978	1037.02
4.75	33403	396262	1177.93
4.75	34640	403120	655.618
4.75	35878	410346	1247.87
4.75	37115	416613	1254.18
4.75	38352	420336	1110.64
4.75	39589	427422	630.317
4.75	40826	433080	881.777
4.75	42064	436949	800.364
5	2474	213730	1429.68
5	3711	59012.8	2313.91
5	4948	79582.8	1823.15
5	6185	134257	1349.17
5	7423	170784	1370.78
5	8660	198454	988.9
5	9897	227155	1369.05
5	11134	254424	932.414
5	12371	265926	1069.38
5	13608	281105	876.795
5	14846	292542	756.174
5	16083	303372	858.562
5	17320	312531	795.642
5	18557	321654	694.499
5	19794	331882	839.524
5	21032	342867	816.042
5	22269	351050	796.421
5	23506	360887	1227.2
5	24743	375696	825.062
5	25980	385639	887.234
5	27217	393114	858.586
5	28455	400501	1042.99
5	29692	415366	894.73
5	30929	422618	1052.65
5	32166	425986	784.747
5	33403	433045	968.862
5	34640	440067	1119.57
5	35878	446809	791.065
5	37115	454827	977.012
5	38352	458260	1113
5	39589	464683	642.269
5	40826	471066	924.118
5	42064	475262	958.859
