beta	population	links	attackRate	error
2.25	6.35252e+06	55825	6972.54	805.524
2.25	6.43541e+06	57517	7442.25	592.652
2.5	320647	3383	2637.04	17.9309
2.5	549654	5075	2645.04	23.31
2.5	747440	6766	2654.83	24.3792
2.5	961081	8458	2691.17	36.1224
2.5	1.21668e+06	10150	2929.96	196.286
2.5	1.40578e+06	11841	3682.83	443.229
2.5	1.57934e+06	13533	4061.83	588.369
2.5	1.83623e+06	15225	4980.96	674.211
2.5	2.05858e+06	16916	4950.71	800.997
2.5	2.33126e+06	18608	5667.38	795.262
2.5	2.63366e+06	20300	6079.83	804.991
2.5	2.88785e+06	21991	5454.88	962.618
2.5	3.06082e+06	23683	5681.33	960.147
2.5	3.30626e+06	25375	6371.62	882.548
2.5	3.50389e+06	27066	6195.62	935.841
2.5	3.79999e+06	28758	6495.38	911.96
2.5	4.02734e+06	30450	7005.71	792.124
2.5	4.23921e+06	32141	7025.96	795.142
2.5	4.45972e+06	33833	7111.67	820.874
2.5	4.66174e+06	35525	6653.12	946.326
2.5	4.82206e+06	37216	7375.33	729.216
2.5	5.05282e+06	38908	6758.25	957.053
2.5	5.35506e+06	40600	7646.46	624.157
2.5	5.53195e+06	42291	6782.5	964.935
2.5	5.68707e+06	43983	7051.92	911.664
2.5	5.84476e+06	45675	7496.67	750.511
2.5	5.98567e+06	47366	7766.88	630.156
2.5	6.13119e+06	49058	7783.54	630.535
2.5	6.21772e+06	50750	6799.88	985.501
2.5	6.26408e+06	52441	6628.75	1040.04
2.5	6.30383e+06	54133	7071.54	936.939
2.5	6.35252e+06	55825	7312.42	855.397
2.5	6.43541e+06	57517	7558.42	752.239
2.75	320647	3383	2649.79	24.3864
2.75	549654	5075	2663.79	22.7927
2.75	747440	6766	2670.62	29.9736
2.75	961081	8458	2730.42	54.3103
2.75	1.21668e+06	10150	3689.96	419.657
2.75	1.40578e+06	11841	4211.75	592.917
2.75	1.57934e+06	13533	5030.21	705.598
2.75	1.83623e+06	15225	5428.21	792.78
2.75	2.05858e+06	16916	5670.92	873.702
2.75	2.33126e+06	18608	6670.04	741.31
2.75	2.63366e+06	20300	6431.96	887.577
2.75	2.88785e+06	21991	6738	853.663
2.75	3.06082e+06	23683	5751.62	1067.74
2.75	3.30626e+06	25375	7140.46	816.23
2.75	3.50389e+06	27066	7423.21	741.852
2.75	3.79999e+06	28758	7742.29	625.09
2.75	4.02734e+06	30450	7301.29	853.845
2.75	4.23921e+06	32141	7351.38	863.568
2.75	4.45972e+06	33833	7162.25	959.492
2.75	4.66174e+06	35525	6718.62	1061.71
2.75	4.82206e+06	37216	7427	876.334
2.75	5.05282e+06	38908	7907.12	652.959
2.75	5.35506e+06	40600	7469.25	881.803
2.75	5.53195e+06	42291	8262.58	483.192
2.75	5.68707e+06	43983	7760.12	787.711
2.75	5.84476e+06	45675	7549.58	892.092
2.75	5.98567e+06	47366	7774.83	793.464
2.75	6.13119e+06	49058	7802.46	794.847
2.75	6.21772e+06	50750	8035.96	665.431
2.75	6.26408e+06	52441	7550.58	896.416
2.75	6.30383e+06	54133	7315.92	989.539
2.75	6.35252e+06	55825	6574.96	1133.5
2.75	6.43541e+06	57517	7786.38	788.791
3	320647	3383	2656.92	18.7477
3	549654	5075	2662.58	23.0015
3	747440	6766	2671.25	19.9174
3	961081	8458	2758.88	105.321
3	1.21668e+06	10150	4068.17	567.958
3	1.40578e+06	11841	5545.17	612.277
3	1.57934e+06	13533	5420.12	802.639
3	1.83623e+06	15225	6556.62	711.111
3	2.05858e+06	16916	6015.29	967.806
3	2.33126e+06	18608	7224.12	701.011
3	2.63366e+06	20300	7172.12	818.754
3	2.88785e+06	21991	6783.92	980.944
3	3.06082e+06	23683	6860.88	995.05
3	3.30626e+06	25375	7152.12	951.316
3	3.50389e+06	27066	7441.5	872.47
3	3.79999e+06	28758	7968.25	652.869
3	4.02734e+06	30450	7783.88	794.412
3	4.23921e+06	32141	7332.75	979.985
3	4.45972e+06	33833	7604.25	905.983
3	4.66174e+06	35525	7613	911.205
3	4.82206e+06	37216	7146.42	1062.5
3	5.05282e+06	38908	6930.54	1118.34
3	5.35506e+06	40600	7961.33	816.808
3	5.53195e+06	42291	8424	492.708
3	5.68707e+06	43983	7700.04	922.587
3	5.84476e+06	45675	7464.71	1010.43
3	5.98567e+06	47366	7736.17	923.772
