beta	population	links	attackRate	error
2.25	3.17104e+06	29059	25577.5	2023.06
2.25	3.35167e+06	30673	29387.5	1088.12
2.25	3.56092e+06	32288	33038.9	1470.39
2.25	3.78967e+06	33902	38093.4	1340.35
2.25	3.98623e+06	35517	43445.5	1358.66
2.25	4.19123e+06	37131	47362.8	1775.6
2.25	4.38526e+06	38745	48765.8	1730.1
2.25	4.61479e+06	40360	54036.3	1767.59
2.25	4.83266e+06	41974	58984.2	1247.46
2.25	5.08978e+06	43589	63492.7	2115.37
2.25	5.31637e+06	45203	65149.5	1763.45
2.25	5.56707e+06	46817	69000.2	1427.22
2.25	5.83522e+06	48432	73890.8	1001.83
2.25	6.11206e+06	50046	77862.6	1411.41
2.25	6.38326e+06	51661	83021.8	1328.76
2.25	6.76343e+06	53275	86973.5	912.95
2.25	7.1025e+06	54890	87398	1205.77
2.5	311489	3228	153728	1313.82
2.5	464692	4843	74715.1	1993.87
2.5	648186	6457	39812.5	2151.46
2.5	854108	8072	29112.8	1814.53
2.5	1.08123e+06	9686	18817	1498.67
2.5	1.25862e+06	11300	11431.1	789.842
2.5	1.46489e+06	12915	12255.2	809.384
2.5	1.66283e+06	14529	14605.5	1558.06
2.5	1.85503e+06	16144	15879.3	1061.98
2.5	2.00387e+06	17758	17218.6	1724.97
2.5	2.18957e+06	19372	21536.1	1696.79
2.5	2.35983e+06	20987	27382.9	1401.13
2.5	2.506e+06	22601	34125.8	1352.08
2.5	2.65109e+06	24216	38028.2	1733.03
2.5	2.83137e+06	25830	46417.4	1949.93
2.5	3.00554e+06	27445	52049	1935.54
2.5	3.17104e+06	29059	57988.9	1750.84
2.5	3.35167e+06	30673	64599.9	1358.4
2.5	3.56092e+06	32288	72650.9	980.564
2.5	3.78967e+06	33902	80025.3	1252.67
2.5	3.98623e+06	35517	86303	1309.88
2.5	4.19123e+06	37131	92030.5	1711.89
2.5	4.38526e+06	38745	97344.7	1067.76
2.5	4.61479e+06	40360	104434	1161.83
2.5	4.83266e+06	41974	107544	1019.29
2.5	5.08978e+06	43589	114087	1163.49
2.5	5.31637e+06	45203	118932	1325.29
2.5	5.56707e+06	46817	123147	1307.25
2.5	5.83522e+06	48432	127987	1263.24
2.5	6.11206e+06	50046	132847	1302.21
2.5	6.38326e+06	51661	136862	833.977
2.5	6.76343e+06	53275	143407	920.388
2.5	7.1025e+06	54890	145122	966.562
2.75	311489	3228	256146	1180.31
2.75	464692	4843	169686	2103.99
2.75	648186	6457	101078	2078.01
2.75	854108	8072	85021.2	2874.48
2.75	1.08123e+06	9686	50209.6	1919.09
2.75	1.25862e+06	11300	30511.1	2803.71
2.75	1.46489e+06	12915	35585.8	2450.82
2.75	1.66283e+06	14529	47000.8	2753.59
2.75	1.85503e+06	16144	40329.3	1808.21
2.75	2.00387e+06	17758	35863.6	1442.25
2.75	2.18957e+06	19372	50494.8	1831.11
2.75	2.35983e+06	20987	60584.7	1806.43
2.75	2.506e+06	22601	71681.2	1223.19
2.75	2.65109e+06	24216	78873.9	1663.69
2.75	2.83137e+06	25830	89171.5	1338.63
2.75	3.00554e+06	27445	98250.9	1078.47
2.75	3.17104e+06	29059	106986	1178.61
2.75	3.35167e+06	30673	113855	1071.15
2.75	3.56092e+06	32288	122436	1427.68
2.75	3.78967e+06	33902	131890	943.342
2.75	3.98623e+06	35517	140438	1293.14
2.75	4.19123e+06	37131	146262	1064.15
2.75	4.38526e+06	38745	153327	1088.98
2.75	4.61479e+06	40360	162613	1176.25
2.75	4.83266e+06	41974	166933	1281.84
2.75	5.08978e+06	43589	173873	1241.26
2.75	5.31637e+06	45203	181989	1100.85
2.75	5.56707e+06	46817	188626	1180.49
2.75	5.83522e+06	48432	194442	1014.95
2.75	6.11206e+06	50046	201577	1529.56
2.75	6.38326e+06	51661	207508	1380
2.75	6.76343e+06	53275	214711	1323.7
2.75	7.1025e+06	54890	216627	1235.57
3	311489	3228	402966	1521.16
3	464692	4843	310006	2079.82
3	648186	6457	208577	2291
3	854108	8072	178981	3137.36
3	1.08123e+06	9686	122898	2572.68
3	1.25862e+06	11300	91137.7	2357.09
3	1.46489e+06	12915	101732	2604.71
3	1.66283e+06	14529	117901	4244.15
3	1.85503e+06	16144	105357	3037.46
3	2.00387e+06	17758	89882.8	1894.48
3	2.18957e+06	19372	110182	2654.42
3	2.35983e+06	20987	124664	2298.48
3	2.506e+06	22601	134497	2372.97
3	2.65109e+06	24216	140133	1727.5
3	2.83137e+06	25830	152774	1485.74
3	3.00554e+06	27445	161626	1747.21
3	3.17104e+06	29059	171909	1180.92
3	3.35167e+06	30673	177049	1536.2
3	3.56092e+06	32288	187903	1439.44
3	3.78967e+06	33902	198228	1084.34
3	3.98623e+06	35517	208388	1301.4
3	4.19123e+06	37131	217971	1270.04
3	4.38526e+06	38745	226570	1206.61
3	4.61479e+06	40360	236512	1335.71
3	4.83266e+06	41974	243515	1557.89
3	5.08978e+06	43589	253760	1552.71
3	5.31637e+06	45203	260972	1186.78
3	5.56707e+06	46817	269199	1712.88
3	5.83522e+06	48432	275697	1433.36
3	6.11206e+06	50046	285763	1532.13
3	6.38326e+06	51661	293429	1404.9
3	6.76343e+06	53275	302893	1504.76
3	7.1025e+06	54890	307061	1177.41
3.25	311489	3228	606084	2137.55
3.25	464692	4843	507321	1977.07
3.25	648186	6457	384296	3181.24
3.25	854108	8072	345812	2092.64
3.25	1.08123e+06	9686	265074	3663.54
3.25	1.25862e+06	11300	223399	2800.05
3.25	1.46489e+06	12915	235764	3512.55
3.25	1.66283e+06	14529	262715	3827.29
3.25	1.85503e+06	16144	231724	2663.57
3.25	2.00387e+06	17758	203239	2540.48
3.25	2.18957e+06	19372	224010	2733.96
3.25	2.35983e+06	20987	235710	2982.85
3.25	2.506e+06	22601	241473	3892.99
3.25	2.65109e+06	24216	242885	2242.67
3.25	2.83137e+06	25830	250995	2334.39
3.25	3.00554e+06	27445	260518	1888.04
3.25	3.17104e+06	29059	269332	1915.36
3.25	3.35167e+06	30673	271572	2390.96
3.25	3.56092e+06	32288	279349	1960.78
3.25	3.78967e+06	33902	290309	1794.75
3.25	3.98623e+06	35517	301877	1822.52
3.25	4.19123e+06	37131	313968	1202.89
3.25	4.38526e+06	38745	324643	2062.72
3.25	4.61479e+06	40360	336566	1864.11
3.25	4.83266e+06	41974	342519	1808.4
3.25	5.08978e+06	43589	351410	1383.89
3.25	5.31637e+06	45203	361394	1908.68
3.25	5.56707e+06	46817	372988	1657.42
3.25	5.83522e+06	48432	383228	1182.15
3.25	6.11206e+06	50046	394581	1613.99
3.25	6.38326e+06	51661	403685	2347.04
3.25	6.76343e+06	53275	417232	1762.12
3.25	7.1025e+06	54890	422529	2078.47
3.5	311489	3228	862658	2454.68
3.5	464692	4843	762792	2431.32
3.5	648186	6457	625420	2934.87
3.5	854108	8072	572171	2638.22
3.5	1.08123e+06	9686	491100	3503.79
3.5	1.25862e+06	11300	440569	4551.82
3.5	1.46489e+06	12915	449994	3130.36
3.5	1.66283e+06	14529	467171	3266.29
3.5	1.85503e+06	16144	439814	3176.58
3.5	2.00387e+06	17758	401336	3423.35
3.5	2.18957e+06	19372	414967	2964.33
3.5	2.35983e+06	20987	415109	2981.31
3.5	2.506e+06	22601	409888	2011.78
3.5	2.65109e+06	24216	404505	3098.71
3.5	2.83137e+06	25830	402437	3133.95
3.5	3.00554e+06	27445	412190	2537.53
3.5	3.17104e+06	29059	418549	2276.34
3.5	3.35167e+06	30673	410539	2517.14
3.5	3.56092e+06	32288	413831	2334.3
3.5	3.78967e+06	33902	418644	1893.52
3.5	3.98623e+06	35517	431484	2005.38
3.5	4.19123e+06	37131	444379	2285.61
3.5	4.38526e+06	38745	456866	2179.32
3.5	4.61479e+06	40360	470151	2057.82
3.5	4.83266e+06	41974	474360	1912.9
3.5	5.08978e+06	43589	484601	1642.02
3.5	5.31637e+06	45203	496578	1879.39
3.5	5.56707e+06	46817	509122	2194.72
3.5	5.83522e+06	48432	521428	1515.43
3.5	6.11206e+06	50046	534192	1729.86
3.5	6.38326e+06	51661	548481	2068.42
3.5	6.76343e+06	53275	565535	1763.66
3.5	7.1025e+06	54890	568814	2169.97
3.75	311489	3228	1.16056e+06	2509.18
3.75	464692	4843	1.05872e+06	3068.71
3.75	648186	6457	910809	3558.33
3.75	854108	8072	853698	2647.08
3.75	1.08123e+06	9686	777413	3835.71
3.75	1.25862e+06	11300	718513	2309.11
3.75	1.46489e+06	12915	718627	2644.44
3.75	1.66283e+06	14529	729402	2778.48
3.75	1.85503e+06	16144	699304	2629.67
3.75	2.00387e+06	17758	659454	3473.32
3.75	2.18957e+06	19372	664432	2662.62
3.75	2.35983e+06	20987	653588	2960.67
3.75	2.506e+06	22601	634289	3110.46
3.75	2.65109e+06	24216	624260	2737.29
3.75	2.83137e+06	25830	611065	2924.07
3.75	3.00554e+06	27445	619673	2230.87
3.75	3.17104e+06	29059	618790	3223.58
3.75	3.35167e+06	30673	604058	2738.78
3.75	3.56092e+06	32288	599313	2144.45
3.75	3.78967e+06	33902	590740	2316.4
3.75	3.98623e+06	35517	605804	2319.26
3.75	4.19123e+06	37131	620625	2001.03
3.75	4.38526e+06	38745	633208	2572.46
3.75	4.61479e+06	40360	648209	3249.7
3.75	4.83266e+06	41974	651668	2358.61
3.75	5.08978e+06	43589	659214	2928.73
3.75	5.31637e+06	45203	671745	2254.29
3.75	5.56707e+06	46817	687162	2184.2
3.75	5.83522e+06	48432	698997	2256.85
3.75	6.11206e+06	50046	714156	2456.62
3.75	6.38326e+06	51661	730813	1367.45
3.75	6.76343e+06	53275	748973	2016.81
3.75	7.1025e+06	54890	754953	1963.29
4	311489	3228	1.49213e+06	2269.89
4	464692	4843	1.38499e+06	2543.06
4	648186	6457	1.23616e+06	2840.45
4	854108	8072	1.17395e+06	2846.24
4	1.08123e+06	9686	1.09506e+06	3631.11
4	1.25862e+06	11300	1.04118e+06	2721.35
4	1.46489e+06	12915	1.02713e+06	2989.96
4	1.66283e+06	14529	1.03244e+06	3155.04
4	1.85503e+06	16144	999061	2969.7
4	2.00387e+06	17758	960802	3432.28
4	2.18957e+06	19372	952742	3122.22
4	2.35983e+06	20987	938030	2351.34
4	2.506e+06	22601	907497	4009.07
4	2.65109e+06	24216	889308	2637.14
4	2.83137e+06	25830	871745	2130.55
4	3.00554e+06	27445	874053	3327.24
4	3.17104e+06	29059	867610	3523.25
4	3.35167e+06	30673	847073	2947.95
4	3.56092e+06	32288	830880	2373.82
4	3.78967e+06	33902	818405	2261.74
4	3.98623e+06	35517	826044	2832.82
4	4.19123e+06	37131	839837	2268.71
4	4.38526e+06	38745	855559	2129.84
4	4.61479e+06	40360	865396	2276.93
4	4.83266e+06	41974	872060	2266.25
4	5.08978e+06	43589	875723	2525.61
4	5.31637e+06	45203	891710	2006.78
4	5.56707e+06	46817	906998	2315.84
4	5.83522e+06	48432	918017	2672.83
4	6.11206e+06	50046	932851	1812.17
4	6.38326e+06	51661	945072	2718.38
4	6.76343e+06	53275	972285	2129.46
4	7.1025e+06	54890	978577	2005
