beta	population	links	attackRate	error
2.5	1.51409e+06	11709	45692	638.072
2.5	1.5496e+06	12159	48863	763.836
2.5	1.58975e+06	12610	52958.5	551.053
2.5	1.62116e+06	13060	55006.1	547.166
2.5	1.67586e+06	13510	59209.9	503.185
2.5	1.7311e+06	13961	63276	424.412
2.5	1.7585e+06	14411	64990.5	664.065
2.5	1.78067e+06	14862	66579.6	348.152
2.5	1.8199e+06	15312	69368.8	601.185
2.75	222177	900	54334	627.077
2.75	310149	1351	7350	1155.36
2.75	379042	1801	2673.08	64.3058
2.75	414054	2251	2612.08	73.1096
2.75	467456	2702	2486.38	51.1611
2.75	498911	3152	2479.08	59.6171
2.75	572728	3602	2393.54	31.1603
2.75	641643	4053	2433.21	42.9035
2.75	697607	4503	2434.33	29.9138
2.75	775786	4954	2449	52.8736
2.75	840964	5404	2514.12	58.4894
2.75	899757	5854	2609.58	90.0913
2.75	938853	6305	2808.17	163.724
2.75	976286	6755	2973.71	146.025
2.75	1.03053e+06	7205	3989.88	513.078
2.75	1.08826e+06	7656	8135.21	1361.84
2.75	1.14687e+06	8106	16202.6	1666.64
2.75	1.19607e+06	8556	23859.4	1919.56
2.75	1.26112e+06	9007	37586.4	1216.63
2.75	1.29805e+06	9457	43010	823.662
2.75	1.33142e+06	9908	48122.2	486.171
2.75	1.40341e+06	10358	55588.5	547.167
2.75	1.43229e+06	10808	58332	518.303
2.75	1.47713e+06	11259	62723.6	631.183
2.75	1.51409e+06	11709	66294.8	572.533
2.75	1.5496e+06	12159	69511	445.564
2.75	1.58975e+06	12610	72535.6	640.226
2.75	1.62116e+06	13060	75088.2	720.47
2.75	1.67586e+06	13510	80451.4	845.622
2.75	1.7311e+06	13961	85563.2	997.128
2.75	1.7585e+06	14411	87181.8	1072.72
2.75	1.78067e+06	14862	90350.6	1208.92
2.75	1.8199e+06	15312	93297.6	930.78
3	222177	900	75905.2	673.672
3	310149	1351	25653.2	1913.36
3	379042	1801	3177.58	136.201
3	414054	2251	2953.42	117.828
3	467456	2702	2817.29	84.8757
3	498911	3152	2663.12	71.1943
3	572728	3602	2519	55.9539
3	641643	4053	2536	61.2788
3	697607	4503	2579.25	54.8209
3	775786	4954	2654.92	72.501
3	840964	5404	2754.17	116.619
3	899757	5854	3379.33	265.136
3	938853	6305	4160.75	413.246
3	976286	6755	7221.75	1216.75
3	1.03053e+06	7205	12951.5	1849.44
3	1.08826e+06	7656	30265	1299.35
3	1.14687e+06	8106	41551.6	790.239
3	1.19607e+06	8556	49170.8	836.263
3	1.26112e+06	9007	57724.7	600.669
3	1.29805e+06	9457	62379.1	688.515
3	1.33142e+06	9908	66440.8	644.892
3	1.40341e+06	10358	73850.4	730.594
3	1.43229e+06	10808	77447	542.647
3	1.47713e+06	11259	82050.7	803.559
3	1.51409e+06	11709	86151.9	802.938
3	1.5496e+06	12159	91115.2	1025.73
3	1.58975e+06	12610	95296.1	987.113
3	1.62116e+06	13060	99049.8	655.661
3	1.67586e+06	13510	104757	608.946
3	1.7311e+06	13961	109429	803.019
