beta	population	links	attackRate	error
2.5	4.75704e+06	28050	68851.5	258.779
2.5	4.90547e+06	28985	69765.9	202.073
2.5	5.08715e+06	29920	70261.5	192.037
2.5	5.33476e+06	30855	71336.7	211.103
2.5	5.5742e+06	31790	72383.6	187.943
2.75	300638	1870	2573.42	32.7489
2.75	477854	2805	2603.38	21.5422
2.75	619173	3740	2624.96	26.6321
2.75	814518	4675	2662.04	29.8035
2.75	1.01534e+06	5610	2771.62	45.9797
2.75	1.17552e+06	6545	3082.54	120.876
2.75	1.42186e+06	7480	7688.75	1003.14
2.75	1.58981e+06	8415	22812.9	834.616
2.75	1.75669e+06	9350	33190.1	453.003
2.75	1.91265e+06	10285	40823.2	348.904
2.75	2.0417e+06	11220	45163.6	358.347
2.75	2.15583e+06	12155	48745.6	361.653
2.75	2.34098e+06	13090	53510.5	215.866
2.75	2.52223e+06	14025	57308.2	239.739
2.75	2.70005e+06	14960	60628.3	210.843
2.75	2.85691e+06	15895	63044.8	242.64
2.75	3.0033e+06	16830	64939.2	200.268
2.75	3.11534e+06	17765	66294.8	223.641
2.75	3.22229e+06	18700	67497.8	184.126
2.75	3.33611e+06	19635	68388	190.333
2.75	3.44043e+06	20570	69452.1	174.366
2.75	3.53627e+06	21505	70435.7	273.076
2.75	3.65053e+06	22440	71240.5	202.916
2.75	3.77772e+06	23375	72057.4	228.245
2.75	3.95373e+06	24310	73188.2	262.782
2.75	4.19736e+06	25245	74583.1	209.959
2.75	4.34087e+06	26180	75550.8	227.275
2.75	4.52722e+06	27115	76493.8	166.69
2.75	4.75704e+06	28050	77602.8	187.893
2.75	4.90547e+06	28985	78099.9	183.878
2.75	5.08715e+06	29920	78629.4	141.005
2.75	5.33476e+06	30855	79541.9	261.597
2.75	5.5742e+06	31790	80269.6	184.463
3	300638	1870	2637.88	19.8152
3	477854	2805	2634.08	20.9104
3	619173	3740	2669.08	27.0993
3	814518	4675	2744.33	44.8706
3	1.01534e+06	5610	2940.58	110.544
3	1.17552e+06	6545	3970.25	532.013
3	1.42186e+06	7480	25188.5	707.393
3	1.58981e+06	8415	37034.1	430.061
3	1.75669e+06	9350	45968.8	398.378
3	1.91265e+06	10285	51962.2	382.994
3	2.0417e+06	11220	56025.4	288.748
3	2.15583e+06	12155	59388	283.714
3	2.34098e+06	13090	63633.6	192.047
3	2.52223e+06	14025	67050.7	215.146
3	2.70005e+06	14960	69761.8	218.368
3	2.85691e+06	15895	71709.7	208.97
3	3.0033e+06	16830	73369.8	247.264
3	3.11534e+06	17765	74528.9	206.631
3	3.22229e+06	18700	75493.5	143.987
3	3.33611e+06	19635	76405.8	159.486
3	3.44043e+06	20570	77231.5	193.868
3	3.53627e+06	21505	77957.5	213.662
3	3.65053e+06	22440	78685.3	183.141
3	3.77772e+06	23375	79671.5	137.264
3	3.95373e+06	24310	80589.5	103.345
3	4.19736e+06	25245	81821.7	167.346
3	4.34087e+06	26180	82523.5	110.275
3	4.52722e+06	27115	83324.9	126.489
3	4.75704e+06	28050	84023.4	171.036
3	4.90547e+06	28985	84682.9	181.57
3	5.08715e+06	29920	85154.9	148.923
3	5.33476e+06	30855	85894.4	143.544
3	5.5742e+06	31790	86596	97.6388
3.25	300638	1870	2662.38	25.3026
3.25	477854	2805	2700.21	20.5898
3.25	619173	3740	2719.08	36.8243
3.25	814518	4675	2820.38	42.833
3.25	1.01534e+06	5610	3414.71	228.605
3.25	1.17552e+06	6545	11984.8	1425.18
3.25	1.42186e+06	7480	37883.1	510.611
